"","site","quadrat","sp.","pesticide","exclosure","growth.form","census","recruits","quad.unique","plot","quad.sp","A.sum","A.con","A.het","lg_A.con","lg_A.het","lg_A.sum"
"1","1",101,"ACPS","W","0","tree","16sp",1,"1_0_101","1_0","1_0_101_ACPS",5105.70442998651,98.837980540712,5006.8664494458,-0.39720446605965,0.282289209338578,-0.498799506727139
"2","1",101,"ACPS","W","0","tree","17sp",3,"1_0_101","1_0","1_0_101_ACPS",5105.70442998651,98.837980540712,5006.8664494458,-0.39720446605965,0.282289209338578,-0.498799506727139
"3","1",101,"ACPS","W","1","tree","17sp",3,"1_1_101","1_1","1_1_101_ACPS",5626.71724077528,217.401440289492,5409.31580048579,-0.058624078089108,0.594383037934969,0.10392439619932
"4","1",101,"FRMA","W","0","tree","16sp",2,"1_0_101","1_0","1_0_101_FRMA",5105.70442998651,98.1192613202131,5007.5851686663,-0.40032946627407,0.282868635847093,-0.498799506727139
"5","1",101,"FRMA","W","1","tree","16sp",1,"1_1_101","1_1","1_1_101_FRMA",5626.71724077528,666.21905249506,4960.49818828022,0.424421014552241,0.244730568367019,0.10392439619932
"6","1",101,"TIAM","W","0","tree","16sp",9,"1_0_101","1_0","1_0_101_TIAM",5105.70442998651,2588.63636324398,2517.06806674254,1.01100172422401,-2.49387461674963,-0.498799506727139
"7","1",101,"TIAM","W","0","tree","17sp",6,"1_0_101","1_0","1_0_101_TIAM",5105.70442998651,2588.63636324398,2517.06806674254,1.01100172422401,-2.49387461674963,-0.498799506727139
"8","1",101,"TIAM","W","1","tree","16sp",3,"1_1_101","1_1","1_1_101_TIAM",5626.71724077528,1774.25273491501,3852.46450586028,0.847688442056365,-0.775742379454313,0.10392439619932
"9","1",101,"TIAM","W","1","tree","17sp",2,"1_1_101","1_1","1_1_101_TIAM",5626.71724077528,1774.25273491501,3852.46450586028,0.847688442056365,-0.775742379454313,0.10392439619932
"10","1",103,"ACMO","I","0","tree","16sp",1,"1_0_103","1_0","1_0_103_ACMO",5974.558888524,301.422399809085,5673.13648871492,0.0821608439159807,0.786613101044853,0.476000890471442
"11","1",103,"ACMO","I","0","tree","17sp",2,"1_0_103","1_0","1_0_103_ACMO",5974.558888524,301.422399809085,5673.13648871492,0.0821608439159807,0.786613101044853,0.476000890471442
"12","1",103,"ACPS","I","0","tree","17sp",1,"1_0_103","1_0","1_0_103_ACPS",5974.558888524,110.985966385751,5863.57292213825,-0.347538980984707,0.919895809266572,0.476000890471442
"13","1",103,"ACPS","I","1","tree","17sp",2,"1_1_103","1_1","1_1_103_ACPS",4586.52025259141,227.293982867572,4359.22626972384,-0.0394631696780911,-0.276869655584625,-1.16398093036605
"14","1",103,"ACTE","I","0","tree","17sp",1,"1_0_103","1_0","1_0_103_ACTE",5974.558888524,205.128199237896,5769.43068928611,-0.0836402550413581,0.854557425754121,0.476000890471442
"15","1",103,"FRMA","I","1","tree","16sp",2,"1_1_103","1_1","1_1_103_FRMA",4586.52025259141,380.247480066234,4206.27277252517,0.182345733190885,-0.42105435648846,-1.16398093036605
"16","1",103,"QUMO","I","1","tree","17sp",1,"1_1_103","1_1","1_1_103_QUMO",4586.52025259141,1135.84042466626,3450.67982792515,0.654913095758627,-1.22036186619479,-1.16398093036605
"17","1",103,"TIAM","I","0","tree","16sp",3,"1_0_103","1_0","1_0_103_TIAM",5974.558888524,2931.55232145009,3043.00656707392,1.06478958572483,-1.72788837444291,0.476000890471442
"18","1",103,"TIAM","I","0","tree","17sp",10,"1_0_103","1_0","1_0_103_TIAM",5974.558888524,2931.55232145009,3043.00656707392,1.06478958572483,-1.72788837444291,0.476000890471442
"19","1",103,"TIAM","I","1","tree","16sp",9,"1_1_103","1_1","1_1_103_TIAM",4586.52025259141,1863.68763969032,2722.83261290109,0.868947736765022,-2.17667171871783,-1.16398093036605
"20","1",103,"TIAM","I","1","tree","17sp",1,"1_1_103","1_1","1_1_103_TIAM",4586.52025259141,1863.68763969032,2722.83261290109,0.868947736765022,-2.17667171871783,-1.16398093036605
"21","1",105,"ACPS","F","0","tree","17sp",3,"1_0_105","1_0","1_0_105_ACPS",4905.64582165819,124.77564719101,4780.87017446718,-0.297310644586829,0.0958391712476322,-0.746740669253617
"22","1",105,"ACPS","F","1","tree","17sp",4,"1_1_105","1_1","1_1_105_ACPS",5257.89828227657,210.684333723393,5047.21394855318,-0.0721358134598576,0.314689049757216,-0.31660142345451
"23","1",105,"FRMA","F","1","tree","17sp",1,"1_1_105","1_1","1_1_105_FRMA",5257.89828227657,261.358559526869,4996.5397227497,0.020692538383672,0.273954677548788,-0.31660142345451
"24","1",105,"QUMO","F","1","tree","17sp",3,"1_1_105","1_1","1_1_105_QUMO",5257.89828227657,1750.4577313312,3507.44055094537,0.841851690430741,-1.15450032528375,-0.31660142345451
"25","1",105,"TIAM","F","0","tree","16sp",9,"1_0_105","1_0","1_0_105_TIAM",4905.64582165819,1583.63627375591,3322.00954790228,0.798557994349159,-1.37376549072426,-0.746740669253617
"26","1",105,"TIAM","F","0","tree","17sp",14,"1_0_105","1_0","1_0_105_TIAM",4905.64582165819,1583.63627375591,3322.00954790228,0.798557994349159,-1.37376549072426,-0.746740669253617
"27","1",105,"TIAM","F","1","tree","16sp",6,"1_1_105","1_1","1_1_105_TIAM",5257.89828227657,1507.53810937172,3750.36017290485,0.777271405401574,-0.884175406357816,-0.31660142345451
"28","1",105,"TIAM","F","1","tree","17sp",6,"1_1_105","1_1","1_1_105_TIAM",5257.89828227657,1507.53810937172,3750.36017290485,0.777271405401574,-0.884175406357816,-0.31660142345451
"29","1",106,"ACBA","I","0","tree","17sp",1,"1_0_106","1_0","1_0_106_ACBA",4942.22835626109,6.91660089185918,4935.31175536923,-1.4934953891476,0.224181954621802,-0.700655676301034
"30","1",106,"ACMO","I","0","tree","17sp",1,"1_0_106","1_0","1_0_106_ACMO",4942.22835626109,318.437343563671,4623.79101269742,0.105836124899695,-0.0390204957563068,-0.700655676301034
"31","1",106,"ACPS","I","1","tree","17sp",1,"1_1_106","1_1","1_1_106_ACPS",4839.19554655207,197.185168819379,4642.01037773269,-0.100637270195314,-0.0231453733423425,-0.831337670339798
"32","1",106,"ACTE","I","0","tree","16sp",1,"1_0_106","1_0","1_0_106_ACTE",4942.22835626109,77.9267725915574,4864.30158366953,-0.498861773893909,0.165677963179057,-0.700655676301034
"33","1",106,"ACTE","I","0","tree","17sp",2,"1_0_106","1_0","1_0_106_ACTE",4942.22835626109,77.9267725915574,4864.30158366953,-0.498861773893909,0.165677963179057,-0.700655676301034
"34","1",106,"FRMA","I","0","tree","16sp",2,"1_0_106","1_0","1_0_106_FRMA",4942.22835626109,769.352113504397,4172.87624275669,0.486588593081715,-0.453233168023182,-0.700655676301034
"35","1",106,"QUMO","I","0","tree","17sp",3,"1_0_106","1_0","1_0_106_QUMO",4942.22835626109,1169.64355333724,3772.58480292385,0.667586635443062,-0.860323989055546,-0.700655676301034
"36","1",106,"TIAM","I","0","tree","16sp",4,"1_0_106","1_0","1_0_106_TIAM",4942.22835626109,1468.05767634082,3474.17067992027,0.76580069610465,-1.19297411934482,-0.700655676301034
